iata_code,latitude_deg,longitude_deg,iso_region
UTK,11.222219,169.851429,MH-UTI
OCA,25.3253994,-80.27480316,US-FL
CSE,38.851918,-106.928341,US-CO
CUS,31.823898,-107.629924,US-NM
JCY,30.251801,-98.622498,US-TX
WLR,55.601299,-131.636993,US-AK
NUP,60.905591,-162.440454,US-AK
PTC,55.803,-133.597,US-AK
ICY,59.966269,-141.660118,US-AK
PPV,56.3288,-133.610001,US-AK
KKK,64.4166257,-156.8203926,US-AK
MHS,41.263199,-122.272003,US-CA
NIR,28.362444,-97.661917,US-TX
GCT,36.257984,-113.231063,US-AZ
ELW,60.893818,-146.704038,US-AK
LVD,61.35910034,-155.4400024,US-AK
HGZ,66.176133,-155.684816,US-AK
OTN,38.851782,-87.49987,US-IN
TLF,63.393902,-153.268997,US-AK
BZT,28.98220062,-95.57969666,US-TX
HBH,57.412201,-133.43848,US-AK
FAK,57.53219986,-135.2129974,US-AK
BYW,48.579162,-122.823844,US-WA
DRF,60.58890152,-152.1620026,US-AK
BDF,41.23089981,-89.61569977,US-IL
TEH,63.124618,-142.518005,US-AK
VRS,38.42779922,-92.87519836,US-MO
GDH,59.74700165,-158.875,US-AK
ATT,60.866699,-162.272996,US-AK
LIV,65.467,-148.6534,US-AK
PDB,59.796925,-154.129994,US-AK
KOZ,57.942094,-152.464314,US-AK
TNK,60.569638,-165.246649,US-AK
WHD,55.903324,-130.009975,US-AK
MNT,65.147991,-149.368658,US-AK
TKI,55.937099,-133.326996,US-AK
WKK,59.2826004,-158.6179962,US-AK
WFB,55.349899,-131.677002,US-AK
RFK,32.953543,-90.845144,US-MS
NNK,58.735633,-157.02216,US-AK
BKF,58.554798,-155.776993,US-AK
BCS,29.866078,-90.021608,US-LA
MMN,42.460298,-71.519031,US-MA
SPQ,33.74919891,-118.2750015,US-CA
TSS,40.742372,-73.972074,US-NY
NYS,40.735061,-73.972814,US-NY
BWL,36.79589844,-97.31700134,US-OK
WYB,55.916302,-131.800995,US-AK
CWS,48.490046,-122.831612,US-WA
TEK,60.871449,-146.690297,US-AK
DUF,36.252744,-75.785256,US-NC
SSW,48.673379,-123.175439,US-WA
FOB,39.472445,-123.795319,US-CA
PUL,47.73400116,-122.6470032,US-WA
CCD,34.06079865,-118.4179993,US-CA
WMK,55.739601,-132.255005,US-AK
AXB,44.312002,-75.90034,US-NY
REE,33.59030151,-102.0370026,US-TX
WDN,48.71141,-123.018208,US-WA
WWP,56.116299,-133.121994,US-AK
CHU,61.579102,-159.216003,US-AK
UGS,57.523476,-157.396344,US-AK
JID,34.020472,-117.927396,US-CA
PSQ,39.85900116,-75.29959869,US-PA
KLL,59.12606,-156.860906,US-AK
SGW,56.886299,-134.158005,US-AK
WTL,60.351243,-162.654476,US-AK
TWA,59.074713,-160.274992,US-AK
KCQ,56.255001,-158.774994,US-AK
AAD,6.095802,46.6375,SO-GA
ABP,-6.06462,141.095173,PG-WPD
ACM,-2.143713,-71.75935,CO-AMA
ADV,11.4023,26.1186,SD-DE
AEE,10.053611,32.959444,SS-NU
AEQ,43.908407,120.15099,CN-15
AFK,7.284,81.644,LK-5
AFT,-9.191389,160.948611,SB-ML
RNA,-9.860543583,161.9795465,SB-MK
ATD,-8.87333,161.011002,SB-ML
VEV,-7.912779808,156.7059937,SB-WE
BPF,-8.562027778,158.1193056,SB-WE
GEF,-7.575829983,156.5970001,SB-WE
AGG,-4.057077,144.073841,PG-ESW
AKS,-8.70257,160.682007,SB-ML
BNY,-11.30222222,159.7983333,SB-RB
CHY,-6.711944,156.396111,SB-CH
BAS,-6.990745,155.886656,SB-WE
FRE,-8.1075,159.576996,SB-IS
HIR,-9.428,160.054993,SB-GU
MBU,-9.7475,159.839005,SB-GU
AVU,-9.868333,160.410556,SB-GU
IRA,-10.44970036,161.897995,SB-MK
SCZ,-10.7203,165.794998,SB-TE
MUA,-8.32797,157.263,SB-WE
GZO,-8.097780228,156.8639984,SB-WE
MNY,-7.41694,155.565002,SB-WE
PRS,-9.641670227,161.4250031,SB-ML
RNL,-11.55,160.062778,SB-RB
EGM,-8.57889,157.876007,SB-WE
NNB,-10.847994,162.454108,SB-MK
RUS,-9.86167,160.824997,SB-GU
VAO,-7.58556,158.731003,SB-IS
XYA,-9.092816,159.21841,SB-CE
AGK,-6.396388889,143.8536111,PG-SHM
KGE,-7.3305,157.585,SB-CH
KUE,-8.0262,156.94783,SB-WE
KWS,-8.360508,160.775127,SB-ML
LLM,-10.296828,166.327322,SB-TE
NAZ,-10.6758,162.2049,SB-MK
MHM,-8.325008,160.80051,SB-ML
GTA,-8.738358,158.202836,SB-WE
RIN,-8.126390457,157.1430054,SB-WE
RBV,-8.168060303,157.6430054,SB-WE
TLG,-9.108,160.1491667,SB-CE
AHY,-20.01583333,45.535,MG-U
AIC,7.279422,168.8257,MH-ALL
CEX,65.05180359,-146.0469971,US-AK
SOL,64.5605,-164.4457,US-AK
HED,55.802346,-160.901346,US-AK
TWE,65.6792984,-164.798996,US-AK
KTH,59.96319962,-158.477005,US-AK
NKI,55.849602,-133.227994,US-AK
CDL,65.90769959,-161.9259949,US-AK
AOS,57.4715004,-153.8150024,US-AK
BSW,60.42309952,-146.1459961,US-AK
AKM,10.89027778,19.81722222,TD-SA
ALZ,56.897294,-154.249692,US-AK
YUK,39.202272,46.455204,AM-SU
AME,-15.61027778,37.68138889,MZ-Q
AMY,-17.686667,45.623889,MG-M
INU,-0.547458,166.919006,NR-14
ANZ,-25.0325,132.2748,AU-NT
CTV,-9.431359,20.311557,AO-LSU
ANL,-11.4723,16.710899,AO-BIE
CNZ,-13.7106,19.861099,AO-MOX
DRC,-17.981924,20.768061,AO-CCU
NDF,-9.280378,14.982432,AO-CNO
AOB,-4.904166667,144.6358333,PG-MPM
AOD,11.4773,19.2874,TD-SA
APP,-8.979167,148.103611,PG-NPP
AQY,60.968774,-149.119792,US-AK
QRF,-35.145811,-60.480294,AR-B
CVI,-46.37428,-67.59409,AR-Z
CNT,-27.2164,-61.2103,AR-H
VGS,-34.995728,-62.999725,AR-B
LMD,-40.817699,-68.074699,AR-R
VCF,-40.700001,-66.150002,AR-R
CPG,-40.7781,-62.9803,AR-B
ARP,-9.883333333,149.4833333,PG-MBA
ASZ,-6.009722222,150.3686111,PG-WBK
WFR,-71.517,8.8,AQ-U-A
LYT,-24.1129,152.7156,AU-QLD
