Market,1/7/26,1/14/26,1/21/26,1/28/26,2/4/26,2/11/26,2/18/26,2/25/26,3/4/26,3/11/26,3/18/26,3/25/26
CUNMKE, 2.25 ,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
CUNMSP, 2.50 ,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734,2.504973734
LASMSP, 1.93 ,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916,1.926594916
LAXMSP, 2.28 ,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448,2.277074448
MCOMSP, 1.95 ,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425,1.947620425
MSPPHX, 1.89 ,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101,1.893035101
MSPPVR, 2.68 ,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575,2.684843575
MSPRSW, 2.11 ,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027,2.106169027
MSPSJU, 3.57 ,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664,3.57336664
MSPTPA, 1.94 ,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947,1.942380947
MSPZIH, 2.89 ,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026,2.887595026
AZAMSP, 1.88 ,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779,1.880597779
BNAMSP, 1.03 ,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664,1.032652664
BOSMSP, 1.67 ,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232,1.665043232
DENMSP, 1.01 ,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462,1.008080462
FLLMSP, 2.21 ,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018,2.211189018
HRLMSP, 1.95 ,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499,1.94877499
MIAMSP, 2.23 ,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732,2.231546732
MKEPUJ, 3.02 ,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231,3.020997231
MKERSW, 1.76 ,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417,1.760712417
MSNRSW, 1.82 ,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607,1.817728607
MSPPSP, 2.16 ,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325,2.15620325
MSPSAN, 2.27 ,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428,2.272909428
MSPSFO, 2.35 ,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811,2.35467811
MSPSRQ, 2.00 ,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397,1.996261397
MSPTUS, 1.93 ,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625,1.92620625
MSPVPS, 1.57 ,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563,1.572980563
JFKMSP, 1.52 ,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171,1.523957171
MSNPHX, 2.07 ,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863,2.070342863
MSPRTB, 2.99 ,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065,2.987905065
AUAMSP, 3.89 ,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549,3.894553549
BZEMSP, 2.84 ,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867,2.83746867
CZMMSP, 2.56 ,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843,2.556880843
GCMMSP, 2.81 ,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164,2.814146164
LIRMSP, 3.58 ,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858,3.583333858
MSPMZT, 2.48 ,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657,2.482303657
MSPPUJ, 3.44 ,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911,3.435073911
MSPSJD, 2.62 ,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507,2.623231507
MSPSXM, 3.77 ,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751,3.770544751
