Station,Earliest Departure,Earliest Arrival,Latest Departure,Latest Arrival,Turn Time,Departure Separation,Arrival Separation
MKE,6:00,6:00,23:59,23:59,1,0.03,0.03
MSP,6:00,6:00,23:59,23:59,1,0.03,0.03
PHX,6:00,6:00,23:59,23:59,1,0.03,0.03
PVR,6:00,6:00,23:59,23:59,1,0.03,0.03
RSW,6:00,6:00,23:59,23:59,1,0.03,0.03
SJU,6:00,6:00,23:59,23:59,1,0.03,0.03
TPA,6:00,6:00,23:59,23:59,1,0.03,0.03
ZIH,6:00,6:00,23:59,23:59,1,0.03,0.03
PUJ,6:00,6:00,23:59,23:59,1,0.03,0.03
PSP,6:00,6:00,23:59,23:59,1,0.03,0.03
SAN,6:00,6:00,23:59,23:59,1,0.03,0.03
SFO,6:00,6:00,23:59,23:59,1,0.03,0.03
SRQ,6:00,6:00,23:59,23:59,1,0.03,0.03
TUS,6:00,6:00,23:59,23:59,1,0.03,0.03
VPS,6:00,6:00,23:59,23:59,1,0.03,0.03
RTB,6:00,6:00,23:59,23:59,1,0.03,0.03
MZT,6:00,6:00,23:59,23:59,1,0.03,0.03
SJD,6:00,6:00,23:59,23:59,1,0.03,0.03
SXM,6:00,6:00,23:59,23:59,1,0.03,0.03
PGD,6:00,6:00,23:59,23:59,1,0.03,0.03
PIE,6:00,6:00,23:59,23:59,1,0.03,0.03
MSY,6:00,6:00,23:59,23:59,1,0.03,0.03
PLS,6:00,6:00,23:59,23:59,1,0.03,0.03
MYR,6:00,6:00,23:59,23:59,1,0.03,0.03
ORD,6:00,6:00,23:59,23:59,1,0.03,0.03
CUN,6:00,6:00,23:59,23:59,1,0.03,0.03
LAS,6:00,6:00,23:59,23:59,1,0.03,0.03
LAX,6:00,6:00,23:59,23:59,1,0.03,0.03
MCO,6:00,6:00,23:59,23:59,1,0.03,0.03
AZA,6:00,6:00,23:59,23:59,1,0.03,0.03
BNA,6:00,6:00,23:59,23:59,1,0.03,0.03
BOS,6:00,6:00,23:59,23:59,1,0.03,0.03
DEN,6:00,6:00,23:59,23:59,1,0.03,0.03
FLL,6:00,6:00,23:59,23:59,1,0.03,0.03
HRL,6:00,6:00,23:59,23:59,1,0.03,0.03
MIA,6:00,6:00,23:59,23:59,1,0.03,0.03
MSN,6:00,6:00,23:59,23:59,1,0.03,0.03
JFK,6:00,6:00,23:59,23:59,1,0.03,0.03
AUA,6:00,6:00,23:59,23:59,1,0.03,0.03
BZE,6:00,6:00,23:59,23:59,1,0.03,0.03
CZM,6:00,6:00,23:59,23:59,1,0.03,0.03
GCM,6:00,6:00,23:59,23:59,1,0.03,0.03
LIR,6:00,6:00,23:59,23:59,1,0.03,0.03
ATW,6:00,6:00,23:59,23:59,1,0.03,0.03
EAU,6:00,6:00,23:59,23:59,1,0.03,0.03
DFW,6:00,6:00,23:59,23:59,1,0.03,0.03
